date,day,oc3,al4,pet2,can,gbl,sachet,enmix,date_type,status_process,electric_consume
1/1/2022,Saturday,0,0,0,0,0,0,0,weekend,0,50752
1/2/2022,Sunday,441240,0,0,0,0,0,0,weekend,1,56624
1/3/2022,Monday,204816,1289657,645326,0,0,0,179835,workday,1,81504
1/4/2022,Tuesday,0,1305874,968366,0,0,0,179835,workday,1,93808
1/5/2022,Wednesday,903072,1207543,969703,0,0,0,209808,workday,1,114544
1/6/2022,Thursday,309528,0,623966,0,0,0,209808,workday,1,99168
1/7/2022,Friday,703272,690926,969703,0,0,0,134877,workday,1,82896
1/8/2022,Saturday,120144,0,0,0,0,0,0,weekend,1,96608
1/9/2022,Sunday,963504,0,0,0,0,0,0,weekend,1,80336
1/10/2022,Monday,941424,0,0,0,0,0,169833,workday,1,73680
1/11/2022,Tuesday,915216,0,0,0,0,0,179835,workday,1,85536
1/12/2022,Wednesday,705432,0,0,618914,48658,52000,179835,workday,1,93536
1/13/2022,Thursday,0,0,0,621607,49063,0,179835,workday,1,77472
1/14/2022,Friday,0,0,0,0,48919,0,135086,workday,1,72096
1/15/2022,Saturday,0,0,0,0,0,0,0,weekend,0,53472
1/16/2022,Sunday,0,0,0,0,0,0,0,weekend,0,40080
1/17/2022,Monday,0,0,0,413379,0,0,179835,workday,1,61808
1/18/2022,Tuesday,0,0,0,414148,0,0,179835,workday,1,74688
1/19/2022,Wednesday,0,304560,0,620973,62940,52681,179835,workday,1,67440
1/20/2022,Thursday,0,1341977,0,414080,63475,0,0,workday,1,71952
1/21/2022,Friday,0,1262709,0,620566,0,0,0,workday,1,97440
1/22/2022,Saturday,0,1286983,0,203657,0,0,0,weekend,1,80512
1/23/2022,Sunday,0,596503,0,0,0,0,0,weekend,1,76832
1/24/2022,Monday,777816,0,644023,0,0,0,179931,workday,1,71584
1/25/2022,Tuesday,699696,0,974091,0,62809,0,179835,workday,1,98992
1/26/2022,Wednesday,885360,0,971966,0,63064,0,179835,workday,1,80768
1/27/2022,Thursday,912120,0,976560,0,62932,0,132696,workday,1,105424
1/28/2022,Friday,907176,0,971794,0,0,0,0,workday,1,90784
1/29/2022,Saturday,948456,0,0,0,0,0,121754,weekend,1,103872
1/30/2022,Sunday,543816,0,0,0,0,0,0,weekend,1,77808
1/31/2022,Monday,0,0,647897,0,0,0,179959,workday,1,67680
2/1/2022,Tuesday,0,0,975634,0,0,0,0,workday,1,72096
2/2/2022,Wednesday,440328,1315166,973989,0,0,23276,209808,workday,1,103888
2/3/2022,Thursday,927504,942343,972823,0,0,0,209808,workday,1,128560
2/4/2022,Friday,947400,1330526,968949,0,0,60571,134877,workday,1,128752
2/5/2022,Saturday,930528,1358229,0,0,0,0,0,weekend,1,136944
2/6/2022,Sunday,62088,898971,0,0,0,0,0,weekend,1,87456
2/7/2022,Monday,0,803211,0,410867,49056,0,176928,workday,1,84544
2/8/2022,Tuesday,0,126823,534720,619027,48706,0,190210,workday,1,97056
2/9/2022,Wednesday,0,0,0,198204,48830,56571,179835,workday,1,60720
2/10/2022,Thursday,118392,334903,0,619163,0,14857,0,workday,1,71696
2/11/2022,Friday,829056,0,0,506246,0,22781,134877,workday,1,97536
2/12/2022,Saturday,904368,0,0,204540,0,0,0,weekend,1,100432
2/13/2022,Sunday,899232,705600,0,0,0,0,0,weekend,1,81264
2/14/2022,Monday,697128,0,0,620973,0,0,179835,workday,1,93040
2/15/2022,Tuesday,773616,0,0,620883,63319,0,179835,workday,1,100464
2/16/2022,Wednesday,902760,0,0,621041,63269,50267,179835,workday,1,120928
2/17/2022,Thursday,416304,0,0,413628,63245,0,179835,workday,1,92752
2/18/2022,Friday,0,0,0,462392,0,60571,134877,workday,1,64032
2/19/2022,Saturday,875184,1296926,0,0,0,0,0,weekend,1,57024
2/20/2022,Sunday,826368,204274,0,0,0,0,0,weekend,1,106464
2/21/2022,Monday,277488,1338754,967783,0,0,0,179835,workday,1,105072
2/22/2022,Tuesday,853608,449177,969909,0,63623,0,179835,workday,1,122104
2/23/2022,Wednesday,920928,1180731,973337,0,63253,60571,179835,workday,1,119128
2/24/2022,Thursday,644808,1038171,972514,0,63195,0,179835,workday,1,134480
2/25/2022,Friday,596952,646697,0,0,0,60571,134877,workday,1,114976
2/26/2022,Saturday,0,0,965040,0,0,0,0,weekend,1,76240
2/27/2022,Sunday,0,0,0,0,0,0,0,weekend,0,64464
2/28/2022,Monday,541200,462206,0,0,0,0,0,workday,1,61904
3/1/2022,Tuesday,1142136,1240183,968640,0,0,0,179835,workday,1,91472
3/2/2022,Wednesday,25248,1017154,969977,0,0,45143,179835,workday,1,135984
3/3/2022,Thursday,921576,569623,314914,0,0,0,163900,workday,1,102816
3/4/2022,Friday,880992,1164377,972480,0,0,0,179835,workday,1,116336
3/5/2022,Saturday,941424,695143,0,0,0,0,0,weekend,1,107840
3/6/2022,Sunday,535176,0,0,0,0,0,0,weekend,1,78080
3/7/2022,Monday,0,0,647383,0,63475,0,188434,workday,1,62960
3/8/2022,Tuesday,0,827074,972377,0,63360,0,211469,workday,1,92144
3/9/2022,Wednesday,955872,986777,973543,0,63253,48533,184004,workday,1,103504
3/10/2022,Thursday,956136,1231303,848229,0,127395,13371,177375,workday,1,131984
3/11/2022,Friday,900696,1027611,0,0,127600,10400,133031,workday,1,126512
3/12/2022,Saturday,908856,0,0,0,63302,0,0,weekend,1,124336
3/13/2022,Sunday,905280,755383,0,0,0,0,0,weekend,1,97312
3/14/2022,Monday,936024,1176309,0,226399,0,0,178580,workday,1,104080
3/15/2022,Tuesday,423072,120789,0,622263,63418,0,173769,workday,1,114176
3/16/2022,Wednesday,0,0,0,622354,63409,57143,154782,workday,1,63072
3/17/2022,Thursday,0,1162491,0,619208,63500,0,177375,workday,1,77440
3/18/2022,Friday,509136,1278377,0,511134,0,53367,0,workday,1,116208
3/19/2022,Saturday,293808,471840,0,0,0,0,0,weekend,1,98720
3/20/2022,Sunday,939624,679097,0,0,0,0,0,weekend,1,95216
3/21/2022,Monday,880056,861463,0,0,0,0,177375,workday,1,104880
3/22/2022,Tuesday,897888,1198251,0,0,63360,0,177375,workday,1,109712
3/23/2022,Wednesday,0,509657,970971,0,63467,0,177375,workday,1,99536
3/24/2022,Thursday,0,0,974091,0,63212,0,108396,workday,1,113584
3/25/2022,Friday,0,0,972274,0,0,0,0,workday,1,76512
3/26/2022,Saturday,941760,1299394,973406,0,0,0,0,weekend,1,59696
3/27/2022,Sunday,917664,1259554,0,0,0,0,0,weekend,1,121728
3/28/2022,Monday,0,512571,0,620159,0,0,199747,workday,1,106816
3/29/2022,Tuesday,463896,875349,0,620272,63418,0,177375,workday,1,109408
3/30/2022,Wednesday,930936,885189,0,619027,63525,52743,177375,workday,1,109984
3/31/2022,Thursday,659424,706697,0,621086,63516,0,0,workday,1,141072
4/1/2022,Friday,945096,609806,0,621064,0,53054,197083,workday,1,108832
4/2/2022,Saturday,216144,0,0,0,0,0,0,weekend,1,85200
4/3/2022,Sunday,0,1337897,0,0,0,0,0,weekend,1,68240
4/4/2022,Monday,915888,1363989,630651,0,0,0,201771,workday,1,101728
4/5/2022,Tuesday,180288,429291,542743,0,99106,0,206938,workday,1,116400
4/6/2022,Wednesday,877056,802869,1072389,0,98955,0,177375,workday,1,92832
4/7/2022,Thursday,868632,1112434,971349,0,0,0,177375,workday,1,134704
4/8/2022,Friday,674208,153291,968743,0,0,0,136361,workday,1,155968
4/9/2022,Saturday,0,1267440,645189,0,0,0,0,weekend,1,76784
4/10/2022,Sunday,955248,969600,0,0,0,0,37493,weekend,1,93808
4/11/2022,Monday,934008,1336560,704091,0,63508,0,206938,workday,1,125168
4/12/2022,Tuesday,924264,783120,827520,0,63467,55962,207006,workday,1,118384
4/13/2022,Wednesday,887544,82629,0,0,63640,0,194198,workday,1,132208
4/14/2022,Thursday,226560,0,1076297,0,63418,56210,206938,workday,1,81776
4/15/2022,Friday,0,1164343,955029,0,0,0,136652,workday,1,90272
4/16/2022,Saturday,692016,1364571,942343,0,0,55962,0,weekend,1,90272
4/17/2022,Sunday,871632,1385760,0,0,0,0,0,weekend,1,114432
4/18/2022,Monday,927552,1354217,0,414940,0,0,208936,workday,1,127104
4/19/2022,Tuesday,805752,1201474,0,664420,0,55962,206938,workday,1,128288
4/20/2022,Wednesday,923880,1365874,0,761135,0,55714,206938,workday,1,109488
4/21/2022,Thursday,551592,421543,0,0,0,55714,206938,workday,1,134112
4/22/2022,Friday,585888,0,0,617760,0,0,133031,workday,1,104960
4/23/2022,Saturday,0,0,0,620045,0,37576,16779,weekend,1,85984
4/24/2022,Sunday,0,1278309,0,0,0,0,0,weekend,1,76560
4/25/2022,Monday,91608,831497,968503,621086,0,0,206938,workday,1,89472
4/26/2022,Tuesday,862464,1289109,958903,619661,0,55962,206938,workday,1,123840
4/27/2022,Wednesday,929136,1371703,0,410844,0,55962,206938,workday,1,128416
4/28/2022,Thursday,930744,1205794,0,0,0,55900,199606,workday,1,113008
4/29/2022,Friday,0,216651,0,0,0,22286,154987,workday,1,82320
4/30/2022,Saturday,0,0,0,0,0,0,0,public holiday,0,38672
5/1/2022,Sunday,0,0,0,0,0,0,0,public holiday,0,37456
5/2/2022,Monday,0,0,0,0,0,0,0,public holiday,0,43600
5/3/2022,Tuesday,0,0,0,0,0,0,0,public holiday,0,36192
5/4/2022,Wednesday,0,0,0,0,0,0,0,public holiday,0,39040
5/5/2022,Thursday,0,1372663,0,0,0,0,0,workday,1,61520
5/6/2022,Friday,0,1344651,0,0,0,0,157667,workday,1,80864
5/7/2022,Saturday,337464,840891,0,0,0,0,0,weekend,1,99856
5/8/2022,Sunday,0,384000,0,0,0,55467,0,weekend,1,69776
5/9/2022,Monday,0,0,0,0,0,0,197083,workday,1,55248
5/10/2022,Tuesday,0,1280126,0,0,63451,55467,167521,workday,1,74512
5/11/2022,Wednesday,23400,966309,0,0,0,0,0,workday,1,80512
5/12/2022,Thursday,649056,0,603497,0,0,56210,93615,workday,1,83216
5/13/2022,Friday,913248,0,0,0,0,0,206938,workday,1,94544
5/14/2022,Saturday,928848,1093989,0,0,0,0,199331,weekend,1,80848
5/15/2022,Sunday,958224,620811,0,0,0,60571,0,weekend,1,90064
5/16/2022,Monday,888312,0,0,0,0,0,0,workday,1,112592
5/17/2022,Tuesday,634392,646800,0,616538,0,60571,199606,workday,1,94320
5/18/2022,Wednesday,0,1363440,0,620566,0,60571,206938,workday,1,101408
5/19/2022,Thursday,0,1379726,0,607260,0,0,206938,workday,1,93536
5/20/2022,Friday,925128,1272789,0,0,0,52990,133031,workday,1,125264
5/21/2022,Saturday,951168,95931,0,0,0,0,0,weekend,1,93648
5/22/2022,Sunday,483336,0,0,0,0,60571,0,weekend,1,82720
5/23/2022,Monday,962904,1320274,0,621064,0,60571,176654,workday,1,74240
5/24/2022,Tuesday,0,918891,0,620973,0,22571,177375,workday,1,112576
5/25/2022,Wednesday,737112,0,0,252942,0,55962,177375,workday,1,96240
5/26/2022,Thursday,0,1311840,0,0,0,0,133031,workday,1,72720
5/27/2022,Friday,0,1307657,0,0,0,0,0,workday,1,85744
5/28/2022,Saturday,418224,1366629,0,0,0,51257,0,weekend,1,87632
5/29/2022,Sunday,0,998229,0,0,0,0,0,weekend,1,73472
5/30/2022,Monday,0,336343,0,0,0,0,177375,workday,1,63952
5/31/2022,Tuesday,0,485863,0,0,0,33429,177375,workday,1,46368
6/1/2022,Wednesday,0,763577,0,0,0,0,0,workday,1,60048
6/2/2022,Thursday,0,1152171,961886,0,63508,0,206650,workday,1,84368
6/3/2022,Friday,0,1255371,711326,0,0,0,133031,workday,1,89280
6/4/2022,Saturday,0,1094571,0,0,0,0,0,weekend,1,79184
6/5/2022,Sunday,0,685989,0,0,0,0,0,weekend,1,64592
6/6/2022,Monday,0,710091,0,0,0,0,22599,workday,1,64464
6/7/2022,Tuesday,0,0,708137,0,0,0,176173,workday,1,65040
