,date,day,oc3,al4,pet2,can,gbl,sachet,enmix,date_type,status_process,electric_consume
date,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
day,1.0,1.0,0.0,0.0,0.26911406721354186,0.27393130217262174,0.27580162945878534,0.3774695382945966,0.6454386183547938,0.7612460210488977,0.22356860117967645,0.34788553066024197
oc3,1.0,0.0,1.0,0.0891377306583567,0.11174056570332708,0.495238623603907,0.027663628569831924,0.17027600439823581,0.0,0.24323045320832012,0.3030685709474442,0.0
al4,1.0,0.0,0.0891377306583567,1.0,0.09270122916442404,0.1004324457120481,0.046758318574380536,0.1753429272213116,0.14831578375052107,0.14289256913508022,0.4137919251226852,0.5980707895678649
pet2,1.0,0.26911406721354186,0.11174056570332708,0.09270122916442404,1.0,0.2167251145076383,0.3067616465018362,0.20407558558903593,0.30550274850338016,0.3297242328203255,0.2009199789843416,0.9355252576415956
can,1.0,0.27393130217262174,0.495238623603907,0.1004324457120481,0.2167251145076383,1.0,0.11300633039823715,0.20006618770100296,0.2525335364446649,0.34465003835641966,0.20454199250313068,0.8913057915353817
gbl,1.0,0.27580162945878534,0.027663628569831924,0.046758318574380536,0.3067616465018362,0.11300633039823715,1.0,0.3115034368146691,0.393607714829945,0.4688395028728948,0.19581183975535615,0.8324399008776466
sachet,1.0,0.3774695382945966,0.17027600439823581,0.1753429272213116,0.20407558558903593,0.20006618770100296,0.3115034368146691,1.0,0.31043360711167023,0.3418922532949547,0.21785124387293656,0.7509132529733789
enmix,1.0,0.6454386183547938,0.0,0.14831578375052107,0.30550274850338016,0.2525335364446649,0.393607714829945,0.31043360711167023,1.0,0.6562839918864929,0.4297574325726025,0.0
date_type,1.0,0.7612460210488977,0.24323045320832012,0.14289256913508022,0.3297242328203255,0.34465003835641966,0.4688395028728948,0.3418922532949547,0.6562839918864929,1.0,0.35592285076061286,0.8701940575605596
status_process,1.0,0.22356860117967645,0.3030685709474442,0.4137919251226852,0.2009199789843416,0.20454199250313068,0.19581183975535615,0.21785124387293656,0.4297574325726025,0.35592285076061286,1.0,0.8738598397900164
electric_consume,1.0,0.34788553066024197,0.0,0.5980707895678649,0.9355252576415956,0.8913057915353817,0.8324399008776466,0.7509132529733789,0.0,0.8701940575605596,0.8738598397900164,1.0
